食用指南：＊马嘉祺和张真源的梦女。＊马嘉祺是我daddy张真源是我老公。＊所有作品都是原创🈲抄袭、融梗、二改、搬运 。*各种类型都会尝试；*想到什么就写什么，主打一个写的开心大家看的开心； ＊碎碎念比较多一人。 ​​​
祺我超话躲不过*“躲什么？”*“躲就说不过去了。”password:12120930 ​​​
真我文超话 老婆你只管做自己🚫🈲上升＊前夫捧着999朵玫瑰在公司堵你＊“叫保安清理垃圾，张太太。”＊隐婚三年该公开了＊“你硌着我了，老公”微🚗🔗plq🔑6635 ​​​
祺我超话 回来吧主人 ​​​
真我文超话 小叔叔你别忍着了🔞（番外）＊伪装隐忍面具下的小叔叔＊故意试探使坏绿茶的你＊你是我的，永远都属于我＊微🚗＊🔗plq＊🔑4623 ​​​
祺我超话 我大概对你一见钟情6️⃣叔叔阿姨都喜欢我 ​​​
祺我超话 对不起，让你伤心了🔞＊友情以上，恋人未满＊我怕我说了连朋友都没得做＊粘了我这么久，想干嘛＊对不起，我喜欢你＊微🚗🔗plq🔑7122 ​​​
真我文超话 小叔叔你别忍着了🔞（下部分）＊伪装隐忍面具下的小叔叔＊故意试探使坏绿茶的你＊小叔叔功课还检查吗？＊很好，下次还敢不敢这么放肆了＊微🚗＊🔗plq＊🔑4623 ​​​
真我文超话 小叔叔你别忍着了🔞（上部分）＊伪装隐忍面具下的小叔叔＊故意试探使坏绿茶的你＊小叔叔，好甜啊＊别闹＊上部分无🚗＊🔗plq＊🔑4623 ​​​
真我文超话 今天会发上部分，可以蹲下 ​​​
祺我超话 我大概对你一见钟情5️⃣要个名分 ​​​
真我｜少侠当真好体力 ​​​
祺我超话 马大夫你这么主动吗🔞（下部分）＊表面清冷骨科大夫＊不小心崴脚迷糊的你＊瞧你，声音怎么还哑了呢＊托您的福，您的实力不容小觑微🚗🔗plq🔑7123 ​​​
祺我超话 老公想你了 ​​​
祺我超话 我大概对你一见钟情4⃣喜欢你 ​​​
祺我超话 马大夫你这么主动吗🔞（上部分）＊表面清冷骨科大夫＊不小心崴脚迷糊的你＊撩完就跑？有这么好的事？＊那你耳朵红什么＊上部分无🚗🔗plq🔑7123 ​​​
祺我超话 我唯一的爱🔞（下部分）＊隐忍克制小叔叔＊从小寄养在身边的侄女＊小叔叔你终于撕下了伪装＊你知不知道，我等你等了好久＊微🚗🔗plq🔑7314 ​​​
祺我超话 我大概对你一见钟情3⃣小马同学你咋了 ​​​
祺我超话 我唯一的爱🔞（上部分）*隐忍克制小叔叔*从小寄养在身边的侄女*知道为什么送你带锁的项链吗？*后来你发现他书房的暗格，里面全是你用过的物品。上半部分无🚗🔗plq🔑7314 ​​​
祺我超话 我大概对你一见钟情2⃣感谢小马同学为我补习 ​​​
祺我超话 老公~马医生~口是心非可不好哦！ ​​​
祺我超话 我大概对你一见钟情1⃣转学遇上新同桌 ​​​
祺我超话 daddy让让我呗 ​​​
祺我超话 puppy的日记一则2.0 ​​​
祺我超话 和联姻对象成了冤家7⃣有情人终成眷属 ​​​
祺我超话 puppy的日记一则 ​​​
祺我超话 和联姻对象成了冤家6⃣好像也没有那么讨厌了 ​​​
马嘉祺超话#马嘉祺大连站联排花絮照##时代少年团大连联排花絮#  daddy什么时候变这么奶呼呼了 ​​​
祺我超话 和联姻对象成了冤家5⃣耳光事件 ​​​
马嘉祺超话 daddy你不要我了吗？在你怀里的明明应该是我啊#马嘉祺大连站联排花絮照##时代少年团大连联排花絮# ​​​
马嘉祺超话 好一个浓颜系吸血鬼daddy ​​​
祺我超话和联姻对象成了冤家4⃣囚笼我来了 ​​​
祺我超话 和联姻对象成了冤家3⃣麻烦麻烦真麻烦 ​​​
祺我超话 和联姻对象成了冤家2⃣谁要和你试婚纱 ​​​
祺我超话 和联姻对象成了冤家1⃣速速远离 ​​​
祺我超话 我在我的金主那转正了🔞*有颜有钱公子哥马少爷*潇洒头也不回的女学生“为什么又来找我？”“想娶你啊”“那好说，放松”微🚗🔗plq🔑6538 ​​​
马嘉祺超话和老公热带雨林一日游，镜头下的我和你 ​​​
祺我超话 我们终将被风吹散*清冷文艺支教老师*倔犟小镇姑娘*我可以为你留下来的*不要，失去光的你一点都不美好微🚗🔗plq🔑1212 ​​​
祺我超话 哥哥我们就这样陷入永恒🔞*骨科*失控和崩溃的哥哥*哥哥不如我的筹码再多一点如何*我们会永远在一起吗微🚗🔗plq🔑1212 ​​​
祺我超话 小垂耳兔的魅力今晚可不可以再扮一次 ​​​
祺我超话 纪念日就要好好纪念🔞*恋爱1314天*小垂耳兔，老公爱你一辈子*要慢，那就快一点吧*微🚗🔗plq🔑1212 ​​​
祺我超话 我永远是你的小狗🔞*先女强后反转*厌男多金女千金×温润谦卑小狼狗*后期有惊喜，会反转*微🚗🔑1212🔗plq ​​​
鑫我超话 一不小心和哥哥恋爱了番外🔞微🚗伪骨重组家庭🔗plq🔑0224 ​​​
祺我超话 少爷爱上保姆🔞微🚗保姆比马嘉祺大10岁姐弟🔑1212🔗plq ​​​
马嘉祺超话 daddy我不介意怀里坐个我，然后你的手握着我的，咱俩来几局 ​​​
褀我文超话 老婆乖一点，老公坏一点 ​​​
马嘉祺超话 你指尖微动，我便如潮水般汹涌。 ​​​
祺我超话 daddy的无奈谁懂？ ​​​
祺我超话 【偶遇星光】2⃣之雨天的偶遇 ​​​
祺我超话 【偶遇星光】1⃣之便利店里的相遇 ​​​
祺我超话 【和男友冷战后发现他要求婚】完“哼，那我拭目以待。”你揪他耳朵。“到时候希望你赏脸喽。”马嘉祺捉住你的手指，亲了一下。窗外，天空有星星和月亮点缀，温柔地注视着这对欢喜冤家。婚礼还有一个月，但你知道，无论风格如何，只要身边是这个人，就一定会是完美的。婚礼当天 ​​​ ...展开
祺我超话 褀我【和男友冷战后发现他要求婚】5⃣ ​​​
祺我超话 【和男友冷战后发现他要求婚】4⃣ ​​​
祺我超话 【和男友冷战后发现他要求婚】3⃣ ​​​
祺我超话 图是自修老婆出差了，但临走之前给我留言录音了，让我每天听一点，录音听完她也就回来了。今天是老婆出差的头一天，唉！想她想她想她。拿出老婆的录音带来听听吧：【嘿嘿老公，我一猜你这会儿是不是该打开录音机啦，我这会儿已经在飞机上了哦，怎么办刚离开你就有点想你了呢。】 ​​​ ...展开
马嘉祺超话 小说男主的手，根根分明的青筋，老公老公爱你一辈子 ​​​
