#大河之水#唉～ 明达也是没办法 但违法就是违法，必须为自己的行为买单！能有锦秋和郑昊这样相扶相伴二十多年的好友想必此生也无憾了！至少救了女儿👧🏻 ​​​
#张晚意演技#“世间安得双全法，不负如来不负卿。”郁锦找到了两全之法！张晚意演技 确实不孬👍🏻看他演的角色总会给我一种“于无声处听惊雷”的惊艳感！ ​​​
#大河之水#昨晚32集石海峰因母亲尿毒症病情恶化返家照顾，检查一科二科小伙伴儿们都叮嘱他路上注意安全安心回家照顾家人，郑昊还转了他5000元，真的给我看感动了，果然年轻人的破防只需要一瞬间 ​​​
#大河之水#真的很想知道郑昊和锦秋最后在一起了么@大河之水官微 ​​​
如果连作品都要被肆意抹黑颠倒黑白，们内娱当真是完了出不了好作品了//@夜里在綫:#张颂文# 女演员男演员都很专业，尊重电影制作事实
张颂文超话 等！！！时间会证明一切！！！相信张颂文老师有自己的处事章法！！！（如果说现今这一切种种不是有预谋推进的我是不信的，真正的实锤是不需要喊话内涵发酵的，而是直接爆出实质性证据。遥想多年前追过的一位演员，被造谣pc事业一落千丈，官司打了三年才力证清白，当时就是有所谓的爆料 ​​​ ...展开
望平安
我在#森林驿站#帮助了东北虎，获得了爱心和动物卡片。#熊猫守护者#们，快加入驿站一起玩吧！森林驿站 ​​​
我在#森林驿站#帮助了猕猴，获得了爱心和动物卡片。#熊猫守护者#们，快加入驿站一起玩吧！森林驿站 ​​​
新年快乐🍻🎉 ​​​
我在#森林驿站#帮助了大象，获得了爱心和动物卡片。#熊猫守护者#们，快加入驿站一起玩吧！森林驿站 ​​​
接全球推广🌐 ​​​
#快乐再出发山海季官宣#必看必看必看相遇在2022年蘑菇屋🍄时间过得真快啊！老哥哥们还是青山不改，绿水长流，友谊不变啊 ​​​
清明上河图密码大结局了！还没看过瘾！！期待第二部！！！#清明上河图密码# ​​​
家暴男死刑也该提上日程了🥶 ​​​
支持你👍🏻@樊振东 //@樊振东:刚仔细阅读了WTT的声明，本着严谨的原则和对国际组织的尊重，简单补充几句。 查看图片
#考证# 分享 ​​​
色彩很丰富啊，真有意思，想看👀 但就是木有看到啥时候播出呢#国色芳华#  ​​​
话说清明上河图密码这第二首片尾曲还真是好听啊旋律朗朗上口的#清明上河图密码# ​​​
这个温铮也真的是厉害啊宋齐愈，勃哥合着都是他的手下额，目前为止温铮和邹勉双方损失人员一半一半，感觉铮哥现在就是无人可用开始怂恿墨儿为他效力复仇#清明上河图密码# ​​​
这部剧预告不错有些子想看嘞👀 清明上河图密码我还没看完哩#国色芳华# 微博正文 ​​​
温悦这弟弟感觉很有问题呢，像是故意跟温悦相认似的赵不尤还挺会整活儿呢接娘子整这么大排场#清明上河图密码# ​​​
赵不尤老爹到底是谁哇🙊崔信使说他长得像谁呢#清明上河图密码# ​​​
#樊振东宣布退出世界排名#你就是你永远支持你的决定🇨🇳@樊振东  ​​​
越想越觉着赵老爹不简单啊上次就是赵老爹亖活要去樊楼，他该不会是知道樊楼一定会出事所以才千方百计要去的吧这次又是赵老爹指引赵不尤他们去同文馆他不会也想扳倒邹家吧不过邹家这帮为祸人间的畜生真是人人得而诛之#清明上河图密码# ​​​
这部剧真是越播越精彩了雅园这帮畜生不如的东西真的是该亖赵老爹一定不简单，他怎么知道的那么多啊！感觉同文馆也是他故意说给赵不尤听的何先生是不是有啥故事啊最后还给他切个镜头～#清明上河图密码# ​​​
欲说还休，却道天凉好个秋！ 终究是镜花水月一场空，黄粱一梦终须醒！ ​​​
感谢中式教育🇨🇳感谢祖国🇨🇳 ​​​
这部剧看得我疑神疑鬼的😰剧中人物除了几个主角现在我是看谁都怀疑😓感觉新出现的何欢有问题、陆娘子有问题，还有赵家老爹也有问题赵老爹天天搁家里待着街坊四邻都是老百姓的哪里串的起来这么多大案都是针对邹家的#清明上河图密码# ​​​
万福审阿丰这段戏节奏呈现的也忒好了既精彩又搞笑话说万福这位演员演技真的太好了#清明上河图密码# ​​​
顾巡使和万福可太搞笑了不让我们顾巡使查雅园哼💢 等着吧看怎么收拾恁们#清明上河图密码# ​​​
#小偷和警察一起看监控被当场拿下#无事献殷勤，非奸即盗 ​​​
致敬🫡 ​​​
这两天的案子看得我脊背发凉🥶时不时下意识的摸脖子虽然也知道都是假的拍戏嘛但还是会觉得瘆得慌#清明上河图密码# ​​​
又没说错渣浪干嘛夹我微博 ​​​有一说一这部剧确实很好看啊#清明上河图密码# ​​​
宋齐愈居然没有死而且还金蝉脱壳杀了害死丁伯的邹雍进和章学正#清明上河图密码# ​​​
这万福演技还真挺好的#清明上河图密码# ​​​
赵不尤＆温悦这居然是个先婚后爱的故事#清明上河图密码# ​​​
藏身伞铺房顶，和温悦打斗的是给宋齐愈拉车的车夫吗？这车夫看着跟宋齐愈爹似的温悦搁马厩明明看到了小宋可小宋却偏偏不承认#清明上河图密码# ​​​
#大四男生遭电瓶烧伤室友被逮捕#李某太歹毒了请务必严惩不贷 ​​​
世界那么大，我想去看看✈️ ​​​
我说对哇！！！说的没错👍🏻 ​​​
