#生活手记#把一件事做到极致 ​​​
//@猫妈45:致敬英雄先辈，奉献生命打跑鬼子，送给我们幸福生活。我认为自个配不上如今的好生活，一个24K纯文傻，又被卖国求荣公知们忽悠十几年。对社会没啥贡献。唯一就生俩孩子，在家照顾过几十个病残孤儿，挽救了几百上千病残孩子。跟志愿者们坚持几年，挖掘出N多种洗钱方式，协助国家打掉史上最大慈 ...展开
做着做着感觉就出来了，就有经验了 ​​​
光埋怨有什么用呢，奋起 ​​​
#生活手记#胜利在望，坚持的力量 ​​​
//@针灸匠张宝旬:/@安静的月亮19:老师，食指转圈揉的方法，只需要揉十圈左右，眼睛痒立刻缓解，真的是立竿见影，屡试不爽。谢谢
#生活手记#管理好自己的情绪和思维，收益最大化 ​​​
所有的不堪，都是因为能量不够，那就改变环境，下决心补充能量 ​​​， ​​​
#生活手记#解决问题的习惯是练出来的 ​​​
#生活手记#2025 体验 尝试 成就自己 ​​​
//@西门大妈:说实话，都到了担心人身安全的地步了（而且这并不是毫无道理的），这个游就别去了吧？旅游是为了快乐放松，搞成这样不是本末倒置了么…包括那几个偷窃猖獗的欧洲城市，我感觉出去玩还要这么防着我还不如上班去…起码同事不偷我手机也不会电我…
#生活手记#他的认知比我低好几个段位 ​​​
早早出来是对的，收获颇丰 ​​​
#生活手记#大胆的想，踏实地实施，定能成功。 ​​​
乱世练腿 盛世练脑 ​​​
起11针 ​​​
自从 接纳了自己的白发，反而顺风顺水 自在了 ​​​
#生活手记#自从随身带姜，顺的不得了 ​​​
//@石头妹妹也有春天:不值当跟所有人较劲。
//@科普小天才:京东上搜海盐水洗鼻，流感高发季节，我每晚都用海盐水洗鼻。//@雨中杭行666:喷鼻子是什么？
转换思路了，从今往后，你让我搭你的车，我都不会搭你的车了，我自己会开车了，我自己买车自己开，吃完早餐，我头也不回做我想做的事。 ​​​
#生活手记#没啥大不了的，明天一定能征服它～不就是钩个帽子嘛 ​​​
2024的我，很精彩嘛！收获满满 ​​​
钩呀 钩呀 直到熟能生巧 ​​​
不纠缠，继续提升自己 ​​​
#生活手记#2025 有规划吗？，实现规划的感觉真好 ​​​
//@柳徍衣:中国农机产业集中度较低，企业规模较小，创新能力和品牌影响力较弱，主要生产中小型、中低端产品，在高端市场上的份额欠缺。发达国家的农业机械制造业产业集中度较高，世界五大农机跨国企业就占了全球市场的70%以上，且生产的农机产品全部集中在高端产品。男拳等同于文盲
2025 想要什么 ​​​
有时候瞬间就通透了 ​​​
以其人之道，还治其人之身。父女俩不是不把我放在眼里吗？我也不把你们放在眼里，想过好元旦，拿出态度来。 ​​​
软弱解决不了任何问题，只能让他们父女俩肆无忌惮，到现在为止，连个像样的道歉都没有。 ​​​
#生活手记#2025 开启读书模式 ​​​
此时此刻就是最好的时刻，所以我毫不犹豫的去了 ​​​
头发大大方方的白了 ​​​
#生活手记#六度空间理论 ​​​
给自己正向的思维 我能行 ​​​
一种题型连续做3遍，反复练，反复练，印象就深刻了，啥都会了 ​​​
下午再去，上午先把正经事做了 ​​​
适当满足自己的小爱好，开心得很 ​​​
#生活手记#不亲自去试一试，怎么知道难不难，行不行，再说有那么难吗？比如学车 比如钩帽子 ​​​
全力以赴就做一件事，他们等着我的好消息呢 ​​​
明天哪也不去了，先干正事，刷完题再干别的，要分清主次 ​​​
#生活手记#我就应该专心做好一件事 ​​​
赶紧复习 赶紧过，还有下一个目标等着你 ​​​
学科四也是为了保护自己 ​​​
行车制动器和驻车制动器的区别 ​​​
科四不就是理论答题嘛，又给自己使绊子呢，又吓唬自己呢 ​​​
你5：00就醒了，能学2H，这2H你干啥了？哪怕学习1.5H呢，给自己加戏呢，找借口呢 拖延呢？ ​​​
#生活手记##生活手记#我发现，吃了早点 脑子就不转了 ​​​
图书馆我的最爱 ​​​
只管优秀着自己 ​​​和实现自己的梦想 ​​​
要做就要全力以赴 强大的心理素质 一把过 ​​​
当归羊肉汤 ​​​
#生活手记#2025年目标 ​​​
现在稍微知道一点冬补，冬天应该吃什么 不吃什么 ​​​
现在知道冬补，冬天应该吃什么 不吃什么 ​​​
//@水木丁:就是高利贷//@绿妖绿妖:现在各个平台都在诱惑你借钱，支付的时候不小心就先用后付。以及用现金会有钱出去了的肉痛感，电子支付没有了这种手感，花钱太容易了。世界是一个巨大的陷阱。//@丛虫时移事往:利滚利就更加不得了提醒年轻人多注意//@孤帆远影-2022:是的是的，小小的花费累计起 ...展开
我发现瓜子能解压，昨天考场有小伙子带了葵花子，讨要了几颗感觉很好，从心里很感谢他。 ​​​
千里之行，始于足下，帽子钩成了 ​​​
