//@肖战:#祝新中国生日快乐# #祖国万岁# 祝福伟大祖国繁荣昌盛，国富民强
//@肖战:#向烈士致敬# 人民英雄，永垂不朽！#盛世中国如你所愿#
//@肖战工作室:#烈士纪念日# 缅怀先烈，致敬英雄！
#肖战代言美团团购# 代言合作上新啦！我已为@美团团购 @肖战 送心成功，快来#星品影响力#推荐你的心动星品，助TA获得新宣TOP荣耀吧！ ​​​
#肖战代言美团团购# 我刚刚在#星品影响力#上被@美团团购 @肖战 种草啦，速速接受这波安利，一起为它打call吧！ ​​​
#肖战代言美团团购# 我在#星品影响力#被@肖战 合作的@美团团购 成功圈粉，迫不及待要入手啦！赶快也来pick你的心动选择吧～ ​​​
//@肖战:山河已无恙，吾辈当自强！#今日中国再不是1931年的中国# ​​​
//@微博之夜:斯文儒雅少年郎，稳扎稳打走出星途璀璨。#肖战微博之夜官宣#1月11日，和@X玖少年团肖战DAYTOY 一起相约#微博之夜# 盛典直播！立即预约&gt;微博之夜 #微博之夜重磅阵容官宣#
//@X玖少年团肖战DAYTOY:愿平安！#定日县地震全力搜救# #我们与西藏日喀则在一起#
//@X玖少年团肖战DAYTOY:愿平安！一起渡难关！
//@肖战工作室:回家，#跟古驰欢乐过年# 开启新春的故事。@GUCCI
//@开小灶官方微博:初心未改人依旧，相守相伴岁岁年。第六年，以一碗开小灶，敬热爱，敬陪伴，敬好好吃饭的每一天#肖战为你开小灶##好好吃饭开小灶#
我获得了#微博之夜#「大眼」卡敲黑板划重点——最后一轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！新年淘个好彩头！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「夜」卡，再接再厉，冲击最后一轮集卡TOP40就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！新年淘个好彩头！#集卡去微博之夜现场#  ​​​
//@肖战工作室:回家，#跟古驰欢乐过年# 开启新春的故事。@GUCCI
好运到~我获得了#微博之夜#「夜」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「之」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「之」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「博」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「夜」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「之」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「大眼」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「之」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「之」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「博」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「之」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
//@X玖少年团肖战DAYTOY:心怀正义，才是英雄！#电影射雕英雄传首支长预告##电影射雕英雄传都是高手中的高手##电影射雕英雄传侠之大者#
//@肖战工作室:#电影射雕英雄传首支长预告# 天地行侠义，策马入江湖！大年初一，和郭靖@X玖少年团肖战DAYTOY 影院见！#电影射雕英雄传都是高手中的高手##电影射雕英雄传侠之大者#  //@X玖少年团肖战DAYTOY:心怀正义，才是英雄！#电影射雕英雄传首支长预告##电影射
//@肖战工作室:#电影射雕英雄传出招版海报# 入江湖，来和郭靖@X玖少年团肖战DAYTOY 一较高下👊🏻#电影射雕英雄传都是高手中的高手##电影射雕英雄传侠之大者#
我获得了#微博之夜#「大眼」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「之」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「之」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
在线求卡！各位宝子们快戳下方↓为我赠卡，助力我直通盛典现场，为我们共同喜爱的Ta大声应援！本轮集卡数TOP30必得#微博之夜#门票！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「夜」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「博」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「大眼」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「夜」卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
我获得了#微博之夜#「大眼」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
好运到~我获得了#微博之夜#「大眼」卡，再接再厉，冲击每轮集卡TOP30就能亲临现场见到我喜爱的TA了！速来集卡一起相约盛典见！#集卡去微博之夜现场#  ​​​
