#广东超10城五停##桦加沙最新动态##桦加沙# ​
#龚俊臭成啥样了#像小猫一样突然皱皱巴巴的 ​​​
#刘宇宁几小时没见又长高了#两米有望了 ​​​
#惹谁都不要惹站姐#站姐的相册是个秘密，只有在寒心的时候才会放出来 ​​​
#上拉如曝小英4元衣服卖29.9元#  ​​​
#李兰迪 少女时期的生长痛终于结束了#心疼你的时候我发现你的伤口早就已经结痂，所以我的心疼都有了时差 ​​​
#刘宇宁祝绪丹否认恋情#友谊长存 ​​​
明明是好宝宝为什么要说她
老时参加全员加速中是两年前的事情了 ​​​
求偶遇  ​​​
//@Rain-潇潇落雨时://@迟遇_時://@小时炸炸酥-祝HakunaMatata://@爆好意思-你炸爹就是厉害://@Ethereal-時忆://@慢慢去听风://@社杂小土豆://@木九酒-2026://@HakunaMatata-醒醒小时露://@茉莉马卡龙-://@时代仙儿://@玫瑰屿时_://@-你今天想時團了没-://@炸毛兔刊://@Everlasting_柒时听语:// ...展开
晴空万里突然砸雨点 ​​​
广东这个天气想干嘛 ​​​
//@-七號路灯下的约定-:拿下//@Forever_冬颂时岛:拿下//@时绾琳:拿下//@葭月时忆_:拿下//@七奶奶我反馈一下:拿下//@义墨辰:拿下//@零碎小时年l:拿下//@爆炸的金针菇:拿下//@炸杯橙汁喝喝叭_:嗯//@_芝士危花饼:拿下//@风湿fish:拿下//@-丫头跟叔处吗_:拿下//@樱碎雪:拿下// ...展开
望周知哦 ​​​
//@I8楼常住户:可能是刷多了吧，前些时间一直有人说楼丝今晚不回家了，然后当时就有一点厌烦。然后呢，后来我又刷到了，有人说为了看逆爱都不知道时团啥时候开演唱会，然后出事了又回来说还是你们好，我当时真的感觉时团不需要这种
 ​​​
什么上大屏 ​​​
嗯对又痛到睡不着 ​​​
//@AAA炒蟹痞老板:盆儿这个娇羞/.
//@焗饭狗已废废废:神……
//@时代少年团-张真源:晚安
亮点在哪里呢 ​​​
矮油可恶🧣还没更新我的表情包 ​​​
//@七颗小狗牙:两个人抱着手机等着消息秒回的那种冷战吗
我用了0秒猜出来他们是xql 你也快来试试吧
//@醉酒于晚風_Y:复读
我狠狠亲，萌物 ​​​
🥺//@时柒久:诶呦诶呦🥺//@一摞镲:这俩人好的不得了了//@要是你困了就先睡好了:张哥牵起耀文的手：炸炸炸猪~//@手握毒蘋果的公主後媽_:炸炸鱼哈哈哈哈哈哈炸炸炸猪～炸炸炸猪～
梦物
🥺
官宣八周年快乐@时代少年团队长-马嘉祺
这个茄咪想可爱死谁
好尴尬 ​​​
作业多多烦恼少少 ​​​
此狗在装酷
我姐姐去她男朋友家做客带回来一大袋荔枝我看着家里剩下一箩筐陷入沉思 ​​​
广东的荔枝跟不要钱一样，一筐一筐往家里搬 ​​​
以德化人，厚德而行，福自至矣。以书育人，以书引善，以书养德。上士忘善，中士行善，为德贵厚，为道酬勤。真行善者，当不求名，当暗处行。人心之广，何恶不容，何善不容。至诚不二，精进努力，善果必现。 ​ ​​​
1000 ​​​
很抱歉，由于没有参与用户符合抽奖规则，本次活动无中奖用户。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：网页链接
恭喜@禹椿时颂_ 1名用户获得【4.3×1】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：网页链接
恭喜@时欣枝 1名用户获得【打卡牌 Sxp】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：网页链接
如果你知道我三专业抽到想要的套卡，还抽到67，同时拥有手办特权码，你也觉得我幸运 ​​​
//@七-1123:求溺爱少年团教程，有的人还顶着大咖做数据，我求你们做做团数据ok？
414
即使一切看起来都暗淡无光，也要留意那些微弱的光芒。生活有点像荡秋千，起起落落……当你轻轻地依偎着秋千随风而动时，你会荡得更好。请相信，即使在最黑暗的地方，也可能有道裂缝，光就能从这道缝隙照进来。 ​​​
2100 ​​​
你一定见过仿写的，但没见过自己仿写自己的 ​​​
✩*:.⸝⸝&gt;o&lt;⸝⸝.:*✩     🦋 ⊹꙳ 🫧 ⊹꙳  @秋凛辞眠    ☆&quot;✞𓏻°☆&quot;等一場雨停&quot;✞𓏻˚‧₊✰         @时代少年团-刘耀文          @时代少年团-宋亚轩      ꙳𓏭‧ ♪‧⁺⋆˖ 慢慢喜歡你˖⋆⭒𖤐       @时代少年团队长-马嘉祺      ☆.·💭.*左耳靠近心脏☆.·₊°*☕️· ​​​ ...展开
#宋亚轩刘耀文张真源去王力宏演唱会#小宝宝要这样一直在一起哦 ​​​
文轩超话 🐺#文轩 专属偏爱# 🐟#文轩世界第一初恋# 无法回溯是缠绵的命运橙子-AIMEE的微博视频 ​​​
2300 ​​​
怀着一颗感恩的心，去看待身边的人和事，你将会发现自己是多么幸福，放开你的胸怀，让细雨洗刷你心灵的污染。学会感恩，因为这会使世界更美好，使生活更充实。 ​​​
分享图片 ​​​
人可以走向天堂，不可以走到天堂。走向，意味着彼岸的成立。走到，岂非彼岸的消失？彼岸的消失即信仰的终结、拯救的放弃。因而天堂不是一处空间，不是一种物质性存在，而是道路，是精神的恒途。 ​​​
日行一善，积善成德。人要有一颗善良的心、宽广的心、美好的心，感恩的心，这样才能去帮助有困难的人。我们日行一善，并不是放下手中的一切事情，刻意地去做好事，而是带着善心，给需帮助的人做力所能及的事。 ​​​
作业作业你怎么这么多 ​​​
