愿得一人心，白首不相离。这个夙愿成了今生永远实现不了的奢望! ​​​
2025读书有感二与儿子读了曹文轩的系列图书，目前为止，对我触动最大、一直萦绕我脑海的就是《根鸟》了。​一个从不记得母亲模样，与父亲相依为命的少年，意外从一只鹰的腿上得到了一张求助纸条开始，展开了少年“”寻找神秘山谷”之旅。当少年踏上寻谷之旅时，他遇到了家族几代人得了一到十八岁就 ​​​ ...展开
心里刚打开点缝隙，想让阳光照进来，现在又拧成一个疙瘩又堵死了 ​​​
自驾齐齐哈尔第2天:1、早起在印象内蒙吃了蒙餐，(好吃😋）吃完蒙餐最大的感受是一天都不饿2、购买了奶娃娃奶制品，便去贝子庙，清朝乾隆年间重修的藏传佛教圣地，门票免费，但需要查验身份证3、在去齐齐哈尔的途中，误打误撞进入99号公路最美段，七彩色的草地，星罗散布的马、牛、羊，悠闲的或低 ​​​ ...展开
说走就走的自驾东蒙——齐齐哈尔第1天:1、临时起意，说走就走。匆匆忙忙收拾行李，直奔锡林浩特，蒙古语中“锡林”是“丘陵”的意思，“浩特”则是“人聚居的地方”2、午饭过后，首先到了元大都博物馆，博物馆免费，上山需要坐观光车3、晚上到达锡林浩特，入住酒店后直奔马都去观看实景《蒙古马》， ​​​ ...展开
不要高估自己在别人心中的地位!缘来则聚，缘去则散。谁又不是是的过客呢！ ​​​
今天我在#百词斩#学了20个单词，已坚持361天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持181天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了20个单词，已坚持360天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了20个单词，已坚持359天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持180天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
分享图片 ​​​
分享图片 ​​​
今天我在#百词斩#学了5个单词，已坚持179天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持179天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了20个单词，已坚持358天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持178天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了20个单词，已坚持357天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持177天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了20个单词，已坚持356天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
当一缕缕金光穿透厚厚的乌云倾泻而下，    ​当一朵朵小花跳入凝重的眼眸绽透笑颜，​    ​心中豁然开朗！​       ​还记得儿时，穿蓝大襟的邻居奶奶总会在乌云密布的时候给我们这群孩子讲“云里”的故事，或是神仙打此经过，或是龙王来此降雨，而我则是最深信不疑的那个!         或许也正是在 ​​​ ...展开
自酿青梅酒两年了，果香四溢，冷藏一下口感更佳!生活就是在平淡中加入调剂!爱自己 ​​​
今天我在#百词斩#学了20个单词，已坚持355天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持176天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持175天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了20个单词，已坚持354天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持174天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了20个单词，已坚持353天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了6个单词，已坚持352天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持173天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持172天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持172天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持350天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持171天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持349天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持170天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持348天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持169天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持346天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持168天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持167天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持167天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持345天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
分享图片 ​​​
今天我在#百词斩#学了5个单词，已坚持165天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持343天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持342天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持164天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持163天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持341天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持162天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持340天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持339天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持161天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持338天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持160天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持337天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持159天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持158天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持336天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持157天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持335天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持334天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持156天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
分享图片 ​​​
今天我在#百词斩#学了5个单词，已坚持154天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持332天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持331天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持153天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持152天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持330天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持151天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持328天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持150天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持327天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
分享图片 ​​​
今天我在#百词斩#学了5个单词，已坚持149天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持148天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持148天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持326天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持147天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
‎立个Flag，然后去打卡！‎ 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持146天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持325天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持324天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了10个单词，已坚持145天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
今天我在#百词斩#学了5个单词，已坚持144天。你也来背单词吧 &gt;&gt;&gt; 下载百词斩: 网页链接 ​​​
分享图片 ​​​
